,1
3381,142190
450,73866
5341,66747
760,60280
2934,40645
2709,37085
7555,36916
1569,34518
3532,31578
6485,31218
1433,28786
1469,27432
6901,25673
3621,25601
4660,25005
2099,24357
6454,24265
2436,18914
6434,17922
4663,16549
5717,16509
7019,14867
7717,14188
4860,14102
1080,13799
4142,13203
7974,13018
1041,11838
2146,11691
8181,11180
6284,10788
3710,10681
1169,10377
8386,10349
1379,10025
3786,9970
2970,9466
4833,8964
7113,8645
5591,8639
1520,8595
1941,8280
6424,8226
797,7815
8037,7251
3284,7116
7884,7027
1945,6568
4433,5937
8077,5843
4043,5592
7706,5449
4195,4878
209,4540
1125,4412
8775,4402
7903,4315
4579,4246
3939,4210
629,4190
8305,4168
4582,4052
8211,3951
2046,3866
7910,3703
7221,3657
6683,3565
171,3561
58,3448
7483,3366
6021,3356
3293,3328
7679,3314
7913,3165
7422,3146
2050,3017
6135,2989
6504,2988
7354,2960
3251,2951
3888,2944
8390,2927
5803,2871
4356,2867
1715,2767
380,2762
129,2590
7011,2585
4909,2576
2804,2566
4661,2548
2813,2474
2622,2451
6885,2258
7243,2211
4883,2188
8614,2179
5152,2173
6650,2169
6735,2154
1244,2145
3283,2053
7921,2051
2277,2029
2420,1869
42,1849
4083,1846
7838,1843
7605,1825
3876,1717
2634,1706
4666,1612
6189,1611
6486,1605
2786,1587
3706,1572
517,1483
611,1461
5138,1439
3679,1412
8022,1397
4070,1345
6106,1311
1072,1298
3792,1275
2691,1251
398,1243
3403,1220
2342,1217
970,1194
984,1190
7909,1187
8653,1185
4808,1177
2610,1170
8580,1146
2036,1142
775,1104
772,1101
5256,1085
5755,1044
5113,1036
6362,1027
2020,1004
1732,1004
3117,973
1839,962
3847,948
6134,947
4515,936
6963,929
3597,927
2976,926
2433,926
1860,919
5010,914
7600,897
3076,897
96,893
4720,883
3807,882
5006,879
6481,875
3232,856
3173,845
1735,841
5074,827
8844,822
2022,821
4771,808
642,804
3546,803
2995,800
7917,795
3527,794
212,788
2854,788
3673,786
8660,782
924,782
7487,771
8433,757
3046,756
5084,750
1494,745
7245,744
2198,732
3550,728
7428,726
7213,725
3101,720
5858,718
7418,716
3394,707
4885,700
1585,699
125,695
2461,692
6024,692
1803,686
2454,680
744,676
1892,675
6329,673
7374,668
1656,660
1440,654
6515,650
8678,649
892,648
1614,644
7206,628
1336,628
8292,624
2731,623
2765,621
877,619
1962,616
8476,614
8688,613
6288,613
2080,611
6195,611
7612,608
208,607
3362,606
6542,606
8800,603
2504,602
6614,600
7318,600
4173,597
3630,596
4116,595
3449,583
6352,581
3447,579
6805,576
4314,575
3033,571
5413,570
8812,569
514,564
904,562
2345,561
8619,561
6582,557
5041,555
7666,553
5039,552
5870,551
3533,549
4906,548
2365,548
3518,544
3599,544
7613,543
576,537
1623,536
286,530
8438,528
1004,524
2914,521
4059,513
2661,513
1812,512
4308,509
4584,498
3022,496
3611,493
3231,492
388,492
6597,490
8422,490
4577,488
3262,488
2941,487
76,486
4427,479
5120,478
2434,478
1775,477
7438,476
6025,475
8721,473
3722,473
8594,471
4748,471
6803,470
5270,468
8144,467
3112,460
4048,460
391,460
4874,453
4807,452
6907,451
1936,450
1905,449
539,449
7711,448
2762,448
5773,447
6020,445
2714,441
2285,437
3641,437
2667,435
2438,434
3298,432
7078,431
8662,430
6279,429
4942,428
3406,426
741,425
3570,425
2673,422
2852,422
5199,420
974,420
1073,418
5106,415
3655,411
6468,410
